image,ground_truth,predicted,error,abs_error,correct
OR9613_29_A2_L [BLL380].jpg,5,5,0,0,True
OR9613_29_A_ST_L [BLL380].jpg,7,7,0,0,True
OR9613_29_B1_L [BLL380].jpg,6,9,3,3,False
OR9613_29_B2_L [BLL380].jpg,5,5,0,0,True
OR9613_29_B_ST_L [BLL380].jpg,6,7,1,1,False
OR9613_2_A1_L [BLL373].jpg,7,7,0,0,True
OR9613_2_A2_L [BLL373].jpg,7,8,1,1,False
OR9613_2_A_ST_L [BLL373].jpg,7,7,0,0,True
OR9613_2_B1_L [BLL373].jpg,7,7,0,0,True
OR9613_2_B2_L [BLL373].jpg,7,7,0,0,True
OR9613_2_B_ST_L [BLL373].jpg,7,7,0,0,True
OR9613_3_A1_L [BLL373].jpg,7,7,0,0,True
OR9613_3_A2_L [BLL373].jpg,7,8,1,1,False
OR9613_3_A_ST_L [BLL373].jpg,7,9,2,2,False
OR9613_3_B1_L [BLL373].jpg,7,7,0,0,True
OR9613_3_B2_L [BLL373].jpg,7,7,0,0,True
OR9613_3_B_ST_L [BLL373].jpg,7,7,0,0,True
OR9613_4_A1_L [BLL374].jpg,7,7,0,0,True
OR9613_4_A2_L [BLL374].jpg,7,8,1,1,False
OR9613_4_A_ST_L [BLL374].jpg,7,7,0,0,True
OR9613_4_B1_L [BLL374].jpg,7,7,0,0,True
OR9613_4_B2_L [BLL374].jpg,7,8,1,1,False
OR9613_4_B_ST_L [BLL374].jpg,7,7,0,0,True
OR9613_7_A1_L [BLL374].jpg,7,7,0,0,True
OR9613_7_A2_L [BLL374].jpg,7,8,1,1,False
OR9613_7_A_ST_L [BLL374].jpg,7,8,1,1,False
OR9613_7_B1_L [BLL374].jpg,7,7,0,0,True
OR9613_7_B2_L [BLL374].jpg,7,7,0,0,True
OR9613_7_B_ST_L [BLL374].jpg,7,7,0,0,True
OR9613_8_A1_L [BLL374].jpg,7,7,0,0,True
OR9613_8_A2_L [BLL374].jpg,7,8,1,1,False
OR9613_8_A_ST_L [BLL374].jpg,7,7,0,0,True
OR9613_8_B1_L [BLL374].jpg,7,7,0,0,True
OR9613_8_B2_L [BLL374].jpg,7,7,0,0,True
OR9613_8_B_ST_L [BLL374].jpg,7,7,0,0,True
OR9613_9_A1_L [BLL374].jpg,7,7,0,0,True
OR9613_9_A2_L [BLL374].jpg,7,8,1,1,False
OR9613_9_A_ST_L [BLL374].jpg,7,8,1,1,False
OR9613_9_B1_L [BLL375].jpg,7,7,0,0,True
OR9613_9_B2_L [BLL375].jpg,7,7,0,0,True
OR9613_9_B_ST_L [BLL375].jpg,7,7,0,0,True
